"timestamp","cpu","ram","sockets","net_speed","threads","label"
"1767023393.0526278","8.4","87.3","1999","0","4100","0"
"1767023395.0646055","5.0","87.2","2000","112152","4105","0"
"1767023397.0826607","5.6","87.2","2000","18179","4098","0"
"1767023399.0477972","4.8","87.2","2000","5143","4099","0"
"1767023401.0644853","4.5","87.2","1999","6484","4099","0"
"1767023403.0400572","4.8","87.2","1999","171364","4093","0"
"1767023405.019021","4.4","87.1","1997","3829","4093","0"
"1767023407.073361","5.3","86.8","2002","6071","4062","0"
"1767023409.0538166","4.7","86.7","1998","174352","4083","0"
"1767023411.010786","5.0","86.1","1998","31110","4054","0"
"1767023412.9591444","4.2","85.9","1998","4726","4052","0"
"1767023414.907139","4.5","86.0","1998","15841","4052","0"
"1767023416.8832054","8.0","86.0","1998","5512","4087","0"
"1767023418.835619","4.7","86.1","1999","169949","4074","0"
"1767023420.7841337","4.8","86.2","1999","3917","4071","0"
"1767023422.7535815","4.2","86.1","1999","29188","4066","0"
"1767023424.7128708","5.6","86.0","1998","5957","4065","0"
"1767023426.6859915","4.2","86.1","1999","7018","4064","0"
"1767023428.7757275","6.8","86.9","1997","168149","4181","0"
"1767023430.7580948","5.0","85.8","1997","5574","4133","0"
"1767023432.7912803","4.9","85.8","1996","24493","4112","0"
"1767023434.8432972","4.6","85.9","1998","301370","4114","0"
"1767023436.8288646","4.8","85.8","1998","369951","4109","0"
"1767023438.9990842","5.8","86.7","2002","3997","4106","0"
"1767023441.0493026","6.0","87.2","2007","147922","4159","0"
"1767023443.107643","10.0","87.2","2007","19877","4119","0"
"1767023445.1060848","8.2","87.3","2006","41716","4116","0"
"1767023447.1835146","5.3","87.3","2006","128727","4127","0"
"1767023449.2003217","4.8","87.2","2006","64528","4129","0"
"1767023451.184006","5.0","87.3","2006","33945","4124","0"
"1767023453.1733398","4.5","87.3","2006","40462","4120","0"
"1767023455.1465995","5.3","87.4","2006","26308","4118","0"
"1767023457.199353","6.2","87.5","2009","59181","4128","0"
"1767023459.22911","5.8","87.5","2009","166307","4130","0"
"1767023461.1961832","5.2","87.3","2009","24723","4129","0"
"1767023463.1493003","5.3","87.4","2009","9990","4129","0"
"1767023465.1109333","4.6","87.2","2010","12546","4129","0"
"1767023467.0767117","4.8","87.3","2011","5054","4127","0"
"1767023469.1280036","6.7","87.7","2003","5046","4125","0"
"1767023471.1034098","5.7","87.0","2003","4847","4113","0"
"1767023473.074757","5.3","87.0","2001","19107","4112","0"
"1767023475.1006513","5.3","87.1","2001","22582","4109","0"
"1767023477.0599976","4.3","87.1","2001","62197","4101","0"
"1767023479.0179524","4.1","87.0","2001","23403","4099","0"
"1767023480.976989","4.1","86.9","2001","5986","4094","0"
"1767023483.0662973","4.9","87.0","2001","67661","4095","0"
"1767023485.0155191","4.1","87.0","2000","50534","4065","0"
"1767023487.1610925","4.9","87.0","2000","14234","4060","0"
"1767023489.1414819","4.4","86.4","1999","112168","4046","0"
"1767023491.1201513","4.7","86.4","1999","23217","4027","0"
"1767023493.0886762","4.6","86.3","1997","18187","4028","0"
"1767023495.0453568","4.7","86.3","1999","20816","4028","0"
"1767023497.0066655","4.7","86.3","1999","20658","4030","0"
"1767023499.0417476","5.6","87.1","2002","13356","4031","0"
"1767023501.026429","7.1","87.1","2001","30172","4055","0"
"1767023503.000195","4.5","86.8","2001","18707","4053","0"
"1767023505.0476239","5.2","87.0","2002","29662","4047","0"
"1767023507.0492938","5.9","87.7","2003","216019","4042","0"
"1767023509.11614","5.9","88.9","2026","134729","4085","0"
"1767023511.1684399","4.4","88.8","2027","287159","4100","0"
"1767023513.9600008","10.1","91.5","2084","250666","4075","0"
"1767023516.3846076","9.3","93.3","2115","534778","4171","0"
"1767023518.6814039","7.2","93.3","2111","625264","4185","0"
"1767023520.7903676","6.4","93.3","2113","743668","4186","0"
"1767023522.95477","6.4","93.2","2112","74111","4179","0"
"1767023525.1016068","6.4","93.0","2112","214579","4175","0"
"1767023527.1708636","5.1","93.2","2118","123475","4174","0"
"1767023529.2948117","5.8","92.9","2114","29928","4170","0"
"1767023531.382001","5.5","92.4","2112","65000","4149","0"
"1767023533.488583","5.3","92.4","2114","37146","4150","0"
"1767023535.852348","9.6","93.5","2118","189547","4144","0"
"1767023538.2804148","6.2","93.7","2099","944873","4143","0"
"1767023540.3299346","4.1","93.7","2094","1005764","4138","0"
"1767023542.4263248","4.7","93.7","2059","42169","4135","0"
"1767023544.5226843","5.3","93.2","2037","47672","4135","0"
"1767023546.5600443","4.3","92.9","2034","56444","4117","0"
"1767023548.9150567","7.8","92.8","2036","23263","4120","0"
"1767023550.9897983","4.6","92.9","2042","551528","4100","0"
"1767023553.1003256","6.6","93.7","2040","897532","4075","0"
"1767023556.0010748","11.6","94.9","2044","555188","4084","0"
"1767023558.264131","5.9","94.9","2044","1635180","4071","0"
"1767023560.945875","10.1","96.6","2052","984474","4149","0"
"1767023564.0378203","13.8","96.6","2052","1612319","4150","0"
"1767023566.4336612","5.5","96.1","2045","1764098","4146","0"
"1767023569.0824227","9.2","95.7","2045","1240890","4147","0"
"1767023571.8449633","7.3","95.1","2048","931690","4142","0"
"1767023574.4088113","6.4","94.8","2052","1557632","4132","0"
"1767023576.5266151","5.2","94.5","2054","786785","4124","0"
"1767023578.6085377","4.2","94.4","2049","107927","4126","0"
"1767023580.821476","5.7","93.5","2047","36945","4124","0"
"1767023582.9336524","7.2","93.8","2053","303295","4126","0"
"1767023585.3437285","5.9","94.7","2066","999269","4159","0"
